 
PLAYER RUN STARTS
X Coordinates, Z Coordinates, Time (Seconds)
-565.1745,3.16548,1.333371
-548.5676,2.511336,4.221374
-536.5336,5.392829,8.456755
-518.5621,15.41776,14.41417
-503.661,26.87348,21.97092
-498.2152,40.24583,30.7895
-498.3359,51.6111,40.55029
-497.9664,63.03313,51.2668
-500.1227,72.13612,62.90311
-504.4091,78.93996,75.42757
-504.3519,89.33744,88.86236
-504.3631,100.327,103.2136
-504.2309,111.3984,118.4883
-501.0672,114.8437,134.7934
-501.0672,114.8437,152.4188
-501.0672,114.8437,171.0262
-501.0672,114.8437,190.5446
-501.0672,114.8437,210.9529
-501.0672,114.8437,232.3604
-501.8102,110.6215,254.683
-495.6859,96.13826,278.3073
-485.3813,80.92243,303.4829
-471.9891,65.89969,330.3396
-458.6581,50.94577,358.864
-446.098,36.85645,388.965
-433.6759,22.922,420.618
-421.0871,8.800611,453.846
-402.8709,1.623378,488.7658
-379.5309,0.4883438,525.6396
-356.7679,-0.6186342,564.417
-337.3334,5.36665,604.9371
-318.1175,12.61462,647.157
-300.1497,22.05766,691.1219
-287.2384,33.77146,736.5355
-278.4338,47.26845,783.3018
-272.0404,61.43857,831.3649
-263.8923,77.20576,880.9063
-251.2463,88.68607,931.8757
 
PLAYER RUN STARTS
X Coordinates, Z Coordinates, Time (Seconds)
-566.4,-0.07,1.498567
-566.4,-0.07,3.994189
-566.4,-0.07,7.417268
-566.4,-0.07,11.77159
-566.4,-0.07,17.11189
-566.4,-0.07,23.48663
-566.4,-0.07,30.91117
-566.4,-0.07,39.37278
-559.1627,-2.090797,49.55909
-539.0832,-6.866594,61.49336
-517.6516,-9.075387,75.21655
-496.499,-11.2554,90.71033
-474.6937,-13.35083,108.0342
-452.8497,-16.16923,127.1948
-432.9385,-15.52177,148.2166
-419.686,-16.14294,170.8007
-396.4713,-21.30533,195.3761
-375.2419,-23.8308,221.7593
-353.9648,-25.06534,249.9142
-334.1647,-19.50595,279.8047
-318.1536,-10.31488,311.2293
-302.7197,-0.1730494,344.1908
-294.6511,15.71707,378.6643
-286.8619,30.78487,414.5585
-278.3136,44.80054,451.7926
-268.9555,58.59856,490.4666
-258.577,72.63246,530.5731
-248.1905,86.67712,572.1337
-238.4585,99.69592,615.2471
PLAYER RUN ENDS
 
 
PLAYER RUN STARTS
X Coordinates, Z Coordinates, Time (Seconds)
-557.5632,-0.8180969,1.644117
